Year,State,Total Salary - Per Pupil Percent Change,Total Benefits - Per Pupil Percent Change,Total Salary,Total Benefits
2010,Maine,0.16114877845228048,0.24629707610999518,0.16114877845228048,0.24629707610999518
2011,Maine,0.14802288381530415,0.267577596163183,0.14802288381530415,0.267577596163183
2012,Maine,0.1040498707207611,0.13728234746997825,0.1040498707207611,0.13728234746997825
2013,Maine,0.09753156267853824,0.1550249243938957,0.09753156267853824,0.1550249243938957
2014,Maine,0.11164433962810594,0.23677209221222917,0.11164433962810594,0.23677209221222917
2015,Maine,0.14506046743753176,0.3027772648408005,0.14506046743753176,0.3027772648408005
2016,Maine,0.16005759694344457,0.24571402725662916,0.16005759694344457,0.24571402725662916
2017,Maine,0.1810914055292041,0.22238108033899118,0.1810914055292041,0.22238108033899118
2018,Maine,0.18100234385133263,0.26626276526243364,0.18100234385133263,0.26626276526243364
2019,Maine,0.2044680703573849,0.3029117676559705,0.2044680703573849,0.3029117676559705
2020,Maine,0.21723960424816946,0.3408278310357127,0.21723960424816946,0.3408278310357127
2003,Maryland,0.023096445104930252,0.07340791545012348,0.023096445104930252,0.07340791545012348
2004,Maryland,0.022267697292050803,0.1340756139812198,0.022267697292050803,0.1340756139812198
2005,Maryland,0.03788555272177074,0.20697142218068332,0.03788555272177074,0.20697142218068332
2006,Maryland,0.07079049149684269,0.27322526864284535,0.07079049149684269,0.27322526864284535
2007,Maryland,0.1463125773612972,0.3644888815987499,0.1463125773612972,0.3644888815987499
2008,Maryland,0.21774348860389892,0.5034664048699309,0.21774348860389892,0.5034664048699309
2009,Maryland,0.24518263994515488,0.5852442062370788,0.24518263994515488,0.5852442062370788
2010,Maryland,0.23729021032375064,0.6753798025535218,0.23729021032375064,0.6753798025535218
2011,Maryland,0.19789409469828323,0.7437267187182071,0.19789409469828323,0.7437267187182071
2012,Maryland,0.14165192153294726,0.7390531542713994,0.14165192153294726,0.7390531542713994
2013,Maryland,0.12871080872796892,0.7460333175527227,0.12871080872796892,0.7460333175527227
2014,Maryland,0.12598558933965065,0.7443463340539704,0.12598558933965065,0.7443463340539704
2015,Maryland,0.13819109805196295,0.731266496646114,0.13819109805196295,0.731266496646114
2016,Maryland,0.2890856557039334,0.7249249789581005,0.2890856557039334,0.7249249789581005
2017,Maryland,0.31142342421845615,0.7399379399178001,0.31142342421845615,0.7399379399178001
2018,Maryland,0.34654495807312924,0.6973706472163208,0.34654495807312924,0.6973706472163208
2019,Maryland,0.14347495097870389,0.6902262023932324,0.14347495097870389,0.6902262023932324
2020,Maryland,0.1548875218323591,0.7119738324658065,0.1548875218323591,0.7119738324658065
2003,Massachusetts,-0.004497370169675885,0.10219759247765636,-0.004497370169675885,0.10219759247765636
2004,Massachusetts,-0.0020340890999032135,0.26289873416287235,-0.0020340890999032135,0.26289873416287235
2005,Massachusetts,0.010501692887902037,0.34950038013811113,0.010501692887902037,0.34950038013811113
2006,Massachusetts,0.01711004724112919,0.4335747025951171,0.01711004724112919,0.4335747025951171
2007,Massachusetts,0.017247018036591122,0.554802353136479,0.017247018036591122,0.554802353136479
2008,Massachusetts,0.027425921205338044,0.6256263070958734,0.027425921205338044,0.6256263070958734
2009,Massachusetts,0.0550893365078402,0.722999237678809,0.0550893365078402,0.722999237678809
2010,Massachusetts,0.057484148405454016,0.42743380461225344,0.057484148405454016,0.42743380461225344
2011,Massachusetts,0.054096422364313224,0.4665262211145882,0.054096422364313224,0.4665262211145882
2012,Massachusetts,0.04605465379462248,0.43558265307350963,0.04605465379462248,0.43558265307350963
2013,Massachusetts,0.06551018642962148,0.4340758461938241,0.06551018642962148,0.4340758461938241
2014,Massachusetts,0.09761689438167531,0.44993318619218514,0.09761689438167531,0.44993318619218514
2015,Massachusetts,0.12949499323482416,0.5598695832908043,0.12949499323482416,0.5598695832908043
2016,Massachusetts,0.15385780087828493,0.5811037147357245,0.15385780087828493,0.5811037147357245
2017,Massachusetts,0.16799683166681767,0.6537829807722602,0.16799683166681767,0.6537829807722602
2018,Massachusetts,0.19499751078662486,0.7114941565517583,0.19499751078662486,0.7114941565517583
2019,Massachusetts,0.2189041937006886,0.7730278391951431,0.2189041937006886,0.7730278391951431
2020,Massachusetts,0.2406317466508816,0.851738553526332,0.2406317466508816,0.851738553526332
2003,Michigan,-0.023607727181719107,0.03952678604568716,-0.023607727181719107,0.03952678604568716
2004,Michigan,-0.038849243542536493,0.07676521572063044,-0.038849243542536493,0.07676521572063044
2005,Michigan,-0.06222286367472285,0.12693381499101974,-0.06222286367472285,0.12693381499101974
2006,Michigan,-0.09782497745452623,0.1653767349737445,-0.09782497745452623,0.1653767349737445
2007,Michigan,-0.1002811981797882,0.18822821675664891,-0.1002811981797882,0.18822821675664891
2008,Michigan,-0.1258729885577523,0.13774279068914974,-0.1258729885577523,0.13774279068914974
2009,Michigan,-0.07374736623698075,0.21189742109611687,-0.07374736623698075,0.21189742109611687
2010,Michigan,-0.07927288654099374,0.23098794933785105,-0.07927288654099374,0.23098794933785105
2011,Michigan,-0.11684560837272495,0.2637681815242472,-0.11684560837272495,0.2637681815242472
2012,Michigan,-0.15095608060251453,0.2601068099219006,-0.15095608060251453,0.2601068099219006
2013,Michigan,-0.1664708790573366,0.26408450083041,-0.1664708790573366,0.26408450083041
2014,Michigan,-0.1828005536259183,0.29382010394917546,-0.1828005536259183,0.29382010394917546
2015,Michigan,-0.18562823544016505,0.39717905470332027,-0.18562823544016505,0.39717905470332027
2016,Michigan,-0.1928034094210247,0.455160935143474,-0.1928034094210247,0.455160935143474
2017,Michigan,-0.19664779890626627,0.45837123477434094,-0.19664779890626627,0.45837123477434094
