State,Year,NAEP,US NAEP,,,,
Kansas,2019,239,241,,,,
Kentucky,2019,239,241,,,,
Louisiana,2019,231,241,,,,
Maine,2019,241,241,,,,
Maryland,2019,239,241,,,,
Massachusetts,2019,247,241,,,,
Michigan,2019,236,241,,,,
Minnesota,2019,248,241,,,,
Mississippi,2019,241,241,,,,
Missouri,2019,238,241,,,,
Montana,2019,241,241,,,,
Nebraska,2019,244,241,,,,
Nevada,2019,236,241,,,,
New Hampshire,2019,245,241,,,,
New Jersey,2019,246,241,,,,
New Mexico,2019,231,241,,,,
New York,2019,237,241,,,,
North Carolina,2019,241,241,,,,
North Dakota,2019,243,241,,,,
Ohio,2019,241,241,,,,
Oklahoma,2019,237,241,,,,
Oregon,2019,236,241,,,,
Pennsylvania,2019,244,241,,,,
Rhode Island,2019,239,241,,,,
South Carolina,2019,237,241,,,,
South Dakota,2019,241,241,,,,
Tennessee,2019,240,241,,,,
Texas,2019,244,241,,,,
Utah,2019,244,241,,,,
Vermont,2019,239,241,,,,
Virginia,2019,247,241,,,,
Washington,2019,240,241,,,,
West Virginia,2019,231,241,,,,
Wisconsin,2019,242,241,,,,
Wyoming,2019,246,241,,,,
DoDEA,2022,250,236,,,,
United States,2022,236,236,,,,
Alabama,2022,230,236,,,,
Alaska,2022,226,236,,,,
Arizona,2022,232,236,,,,
Arkansas,2022,228,236,,,,
California,2022,230,236,,,,
Colorado,2022,236,236,,,,
Connecticut,2022,236,236,,,,
Delaware,2022,226,236,,,,
District of Columbia,2022,223,236,,,,
Florida,2022,241,236,,,,
Georgia,2022,235,236,,,,
Hawaii,2022,237,236,,,,
Idaho,2022,236,236,,,,
Illinois,2022,237,236,,,,
Indiana,2022,239,236,,,,
Iowa,2022,240,236,,,,
Kansas,2022,235,236,,,,
Kentucky,2022,234,236,,,,
Louisiana,2022,229,236,,,,
Maine,2022,233,236,,,,
Maryland,2022,229,236,,,,
Massachusetts,2022,242,236,,,,
Michigan,2022,232,236,,,,
Minnesota,2022,239,236,,,,
Mississippi,2022,234,236,,,,
Missouri,2022,232,236,,,,
Montana,2022,239,236,,,,
Nebraska,2022,242,236,,,,
Nevada,2022,229,236,,,,
New Hampshire,2022,239,236,,,,
New Jersey,2022,239,236,,,,
New Mexico,2022,221,236,,,,
New York,2022,227,236,,,,
North Carolina,2022,236,236,,,,
North Dakota,2022,240,236,,,,
Ohio,2022,238,236,,,,
Oklahoma,2022,229,236,,,,
Oregon,2022,228,236,,,,
Pennsylvania,2022,238,236,,,,
Rhode Island,2022,234,236,,,,
South Carolina,2022,234,236,,,,
South Dakota,2022,239,236,,,,
Tennessee,2022,236,236,,,,
Texas,2022,239,236,,,,
Utah,2022,240,236,,,,
Vermont,2022,234,236,,,,
Virginia,2022,236,236,,,,
Washington,2022,235,236,,,,
West Virginia,2022,226,236,,,,
Wisconsin,2022,240,236,,,,
Wyoming,2022,243,236,,,,
